,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date,coin
1,1609545600,33257.29,29036.26,29388.94,119214.75,3750440817.91,32203.64,direct,,2021-01-01,BTC
365,1640995200,46727.17,46196.03,46197.31,1522.23,70745214.97,46710.49,direct,,2021-12-31,BTC
1,1609545600,788.27,716.71,730.6,904953.39,688632713.33,774.9,direct,,2021-01-01,ETH
365,1640995200,3727.96,3675.65,3675.79,15234.71,56459157.57,3722.66,direct,,2021-12-31,ETH
1,1609545600,41.48,36.81,37.76,900235.92,34470148.57,38.29,multiply,BTC,2021-01-01,BNB
365,1640995200,518.18,511.36,511.71,6048.8,3111832.18,518.02,direct,,2021-12-31,BNB
1,1609545600,1.034,0.9024,1.002,119214.75,119318.72,1.001,invert_divide,BTC,2021-01-01,USDT
365,1640995200,1.0,0.9999,1.0,8257636.6,8257209.69,1.0,direct,,2021-12-31,USDT
1,1609545600,2.012,1.752,1.847,1060347.35,1907901.86,1.799,multiply,ETH,2021-01-01,SOL
365,1640995200,172.79,169.9,169.93,103886.19,17830254.87,172.63,direct,,2021-12-31,SOL
1,1609545600,0.1847,0.1689,0.1755,83287104.58,14807147.65,0.1772,direct,,2021-01-01,ADA
365,1640995200,1.334,1.308,1.309,4076585.27,5385322.77,1.329,direct,,2021-12-31,ADA
1,1609545600,1.032,0.9013,0.9999,119214.75,119174.49,0.9997,invert_divide,BTC,2021-01-01,USDC
365,1640995200,1.0,1.0,1.0,280461.69,280482.72,1.0,direct,,2021-12-31,USDC
1,1609545600,0.2387,0.2117,0.2379,563620216.37,127336480.83,0.2212,direct,,2021-01-01,XRP
365,1640995200,0.8398,0.8292,0.8292,1686611.54,1409378.85,0.838,direct,,2021-12-31,XRP
1,1609545600,0.7127,0.6106,0.6486,7529318.57,4747591.28,0.6305,multiply,BTC,2021-01-01,LUNA
365,1640995200,87.08,85.48,85.48,27682.75,2385007.24,86.93,direct,,2021-12-31,LUNA
1,1609545600,9.831,7.918,8.294,4307596.99,38331200.26,9.218,direct,,2021-01-01,DOT
365,1640995200,27.29,26.62,26.64,188854.19,5107366.05,27.23,direct,,2021-12-31,DOT
1,1609545600,4.328,3.23,3.659,962335.82,3365591.79,3.497,multiply,BTC,2021-01-01,AVAX
365,1640995200,112.0,109.4,109.42,49129.47,5449368.11,111.6,direct,,2021-12-31,AVAX
1,1609545600,0.01408,0.005597,0.005699,3708310837.38,34174268.9,0.01058,direct,,2021-01-01,DOGE
365,1640995200,0.1721,0.17,0.1703,7631021.11,1306475.57,0.1718,direct,,2021-12-31,DOGE
365,1640995200,3.39e-05,3.331e-05,3.331e-05,219577086623.92,7378525.5,3.389e-05,direct,,2021-12-31,SHIB
1,1609545600,0.01939,0.01716,0.01781,1149537.08,21309.78,0.01861,direct,,2021-01-01,MATIC
