date,published_at,source_id,source_name,author,content,title,url,url_image
2021-08-10,2021-08-10T00:34:05,the-verge,The Verge,Jay Peters,"Photo by Joe Raedle/Getty Images

 

 Twitter and Square CEO Jack Dorsey, a noted superfan of Bitcoin, claimed on Monday that the cryptocurrency will eventually unite the world. Yes, really.
On Mond… [+2119 chars]","Jack Dorsey says Bitcoin will unite the world, but doesn’t say how",https://www.theverge.com/2021/8/9/22617551/jack-dorsey-bitcoin-unite-country-world-peace-cryptocurrency,https://cdn.vox-cdn.com/thumbor/HEyvuedlKAWanfGU9qYG1AUTBr8=/0x289:3000x1860/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22772533/1321753354.jpg
2021-08-10,2021-08-10T21:06:43,techcrunch,TechCrunch,Alex Wilhelm,"After the bell today, Coinbase reported another period of impressive results in its second quarter earnings report.
During the quarter, Coinbase’s total revenue reached $2.23 billion, which helped t… [+4900 chars]","Coinbase crushes Q2 expectations, notes Q3 trading volume is trending lower",http://techcrunch.com/2021/08/10/coinbase-crushes-q2-expectations-notes-q3-trading-volume-is-trending-lower/,https://techcrunch.com/wp-content/uploads/2021/04/GettyImages-1304243736.jpeg?w=669
2021-08-10,2021-08-10T14:19:00,reuters,Reuters,Gertrude Chavez-Dreyfuss,"NEW YORK (Reuters) - Bitcoin investment products and funds registered outflows for a fifth consecutive week, as investor sentiment remained cautious in the midst of increased global regulatory scruti… [+2022 chars]","Bitcoin, cryptos post 5th straight week of outflows -CoinShares data - Reuters",https://www.reuters.com/article/legal-us-fintech-crypto-flows-idUSKBN2FB1DO,https://static.reuters.com/resources/r/?m=02&d=20210810&t=2&i=1571521012&r=LYNXMPEH790MV&w=800
2021-08-10,2021-08-10T16:17:00,reuters,Reuters,Reuters,"Representations of cryptocurrencies Bitcoin and Ethereum are placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/IllustrationAug 10 (Reuters) - Paypal Holdings Inc-… [+991 chars]",PayPal's Venmo allows credit cardholders to buy crypto with cashback - Reuters,https://www.reuters.com/technology/paypals-venmo-allows-credit-cardholders-buy-crypto-with-cashback-2021-08-10/,https://www.reuters.com/resizer/ivbxd2ZWNn2Zfunmxm1y_MlhNRc=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/4VAZ2ZCRTZJ7NHM2LGME3W5SKQ.jpg
2021-08-10,2021-08-10T20:11:00,reuters,Reuters,Reuters,"People watch as the logo for Coinbase Global Inc, the biggest U.S. cryptocurrency exchange, is displayed on the Nasdaq MarketSite jumbotron at Times Square in New York, U.S., April 14, 2021. REUTERS/… [+1424 chars]",Crypto exchange Coinbase trading volumes jump over 1500% - Reuters,https://www.reuters.com/technology/crypto-exchange-coinbase-trading-volumes-jump-over-1500-2021-08-10/,https://www.reuters.com/resizer/uMW260y5SNE6FoAxhza0bSokOsA=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GU4CYSTRKBLPFAOGVS7KDQDKCQ.jpg
2021-08-10,2021-08-10T13:01:00,reuters,Reuters,Gertrude Chavez-Dreyfuss,"NEW YORK, Aug 10 (Reuters) - Losses from theft, hacks, and fraud in decentralized finance or DeFi, a thriving segment in the cryptocurrency sector, hit an all-time high in the first seven months of t… [+2043 chars]",'DeFi' crime hits record high in first 7 months of 2021 -CipherTrace - Reuters,https://www.reuters.com/article/fintech-crypto-crime-idUSL1N2PD2FT,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800
2021-08-10,2021-08-10T13:19:00,reuters,Reuters,Gertrude Chavez-dreyfuss,"NEW YORK, Aug 10 (Reuters) - Losses from theft, hacks, and fraud in ""decentralized finance"" or DeFi, a thriving segment in the cryptocurrency sector, hit an all-time high in the first seven months of… [+2112 chars]","""DeFi"" crime hits record high in first 7 months of 2021 -CipherTrace - Reuters",https://www.reuters.com/technology/defi-crime-hits-record-high-first-7-months-2021-ciphertrace-2021-08-10/,https://www.reuters.com/resizer/cAy1SqG7HnNk2xkRhBksDNTX81I=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/B2UOZH4RK5NTZDZNR7YM4DIZXI.jpg
2021-08-10,2021-08-10T14:51:36,,Entrepreneur,Entrepreneur Staff,"August
10, 2021
2 min read
AMCannounced Monday that American movie-goers can soon use bitcoin to pay for tickets and concessions. Apple Pay and Google Pay will also soon be accepted for online pur… [+1560 chars]",You Will Soon Be Able to Use Bitcoin at This Movie Theatre Chain,https://www.entrepreneur.com/article/379852,https://assets.entrepreneur.com/content/3x2/2000/1628607071-GettyImages-1224822957.jpg
2021-08-10,2021-08-10T18:05:00,,Slashdot.org,msmash,"Poly Network, a protocol launched by the founder of Chinese blockchain project Neo, operates on the Binance Smart Chain, Ethereum and Polygon blockchains. Tuesday's attack struck each chain consecuti… [+888 chars]",Cross-Chain DeFi Site Poly Network Hacked; Hundreds of Millions Potentially Lost,https://it.slashdot.org/story/21/08/10/1757226/cross-chain-defi-site-poly-network-hacked-hundreds-of-millions-potentially-lost,https://a.fsdn.com/sd/topics/security_64.png
2021-08-10,2021-08-10T09:01:00,,MarketBeat,Sean Sechler,"August
10, 2021
5 min read
This story originally appeared on MarketBeat
Although cryptocurrencies such as Bitcoin have taken investors on a wild ride in 2021, these intriguing digital assets cont… [+4736 chars]",3 Crypto Stocks for Bitcoin Bulls to Buy Now,https://www.marketbeat.com/originals/3-crypto-stocks-for-bitcoin-bulls-to-buy-now/?utm_source=entrepreneurcom&amp;amp;utm_medium=entrepreneurcom,https://assets.entrepreneur.com/providers/marketbeat/hero-image-marketbeat-379820.jpeg
